#TRAITS
82	8	GS	Dev	DNA	Helitron	LINE	LTR	SINE	TEs
affinis	185.8	15.5	3.54284	2.97355333333333	10.7155666666667	11.39246	0.000853333333333333	28.6252733333334
Dalbomicans	215.9	11.5	3.00416666666667	2.35970666666667	4.78338666666667	4.12807333333333	0.0316666666666667	14.307
ambigua	176.04	-1	2.21237333333333	1.92944666666667	6.82452	10.7764733333333	0.000713333333333333	21.7435266666666
Damericana	273.84	18	1.73061333333333	4.35300666666667	10.1344866666667	8.46325333333333	0.00183333333333333	24.6831933333334
dana	195.6	13	6.94856	1.34536666666667	13.12952	24.01098	0.0267	45.4611266666667
Darizonae	173.9	15.5	6.11544	4.20396	5.12184	8.02796666666667	0.00979333333333333	23.479
athabasca	215.649	-1	5.12065333333333	3.64887333333333	12.3133133333333	14.43314	0.00140666666666667	35.5173866666666
Dathabasca	215.649	-1	5.22835333333333	4.35299333333333	13.22276	15.0580933333333	0.00180666666666667	37.8640066666666
azteca	216	-1	3.74706666666667	3.04398	12.5623333333333	16.5143866666667	0.00438666666666667	35.8721533333333
barbarae	195.6	14	3.10272666666667	7.06542	9.21562	15.6089	0.000893333333333333	34.99356
Dbiarmipes	195.6	17.5	4.16828	1.35375333333333	6.72174666666667	17.44392	0.00452	29.69222
bifasciata	195.6	14.5	3.25748	7.03881333333333	10.6403066666667	16.0445666666667	0.00259333333333333	36.9837600000001
Dbipectinata	195.6	14.5	9.61335333333333	2.87596666666667	12.10262	15.22988	0.05152	39.87334
Dbusckii	136.92	16.5	0.602853333333333	0.07286	2.15022666666667	0.64984	0.000486666666666667	3.47626666666667
diplacantha	224.94	18.5	4.30794666666667	3.46376	17.88234	21.2914466666667	0.000726666666666667	46.94622
Delegans	195.6	12	2.66346	3.11212	5.90166	18.44732	0.000433333333333333	30.1249933333333
equinoxialis	244.5	17	6.17190666666667	2.60268666666667	16.78634	24.8653866666667	0.000806666666666667	50.4271266666667
ercepae	215.16	16.5	2.9542	4.40892666666667	23.95394	16.8953733333333	0.000993333333333333	48.2134333333333
dere	146.7	14.5	1.13140666666667	0.366293333333333	4.79666666666667	8.75756666666667	0.00026	15.0521933333333
Deugracilis	224.94	-1	5.33097333333333	4.51485333333333	5.91288	16.50048	0.17896	32.4381466666667
Dficusphila	185.82	-1	4.32530666666667	1.62906666666667	6.49434666666667	7.32241333333333	0.000353333333333333	19.7714866666667
dgri	244.5	26	0.831113333333333	0.0396933333333333	1.63577333333333	36.1980266666667	0.000966666666666667	38.7055733333334
guanche	204.7932	16	2.18319333333333	3.99044	4.44860666666667	1.96907333333333	0.00102	12.5923333333333
Dguanche	204.7932	16	2.21393333333333	3.71504666666667	4.66364666666667	1.70269333333333	0.000546666666666667	12.2958666666667
helvetica	-1	-1	-1	-1	-1	-1	-1	-1
Dhydei	205.38	17.5	2.54879333333333	0.390246666666667	2.9265	3.29420666666667	0.0024	9.16214666666667
imaii	241.2726	17.5	4.58204	7.13892	15.2911866666667	21.2191133333333	0.00332666666666667	48.2345866666667
Dkikkawai	205.38	15.5	4.94126	4.95928	10.4973066666667	14.0966333333333	0.00104666666666667	34.4955266666667
Dlacertosa	298	18.5	3.00401333333333	0.0124133333333333	11.8402933333333	15.5173066666667	0.000813333333333333	30.37484
Dlowei	-1	-1	-1	-1	-1	-1	-1	-1
lucipennis	264.06	13.5	7.95623333333333	11.38212	16.66844	20.45822	0.17122	56.6362333333333
lutescens	227.06	13	13.0309533333333	5.28913333333333	10.27998	15.32096	0.392733333333333	44.31376
madeirensis	-1	-1	-1	-1	-1	-1	-1	-1
malerkotliana	195.6	15	6.44444	1.58540666666667	13.6007066666667	15.5285	0.000493333333333333	37.1595466666667
Dmauritiana	146.7	-1	0.830993333333333	0.127	6.90774	6.99968	0.000253333333333333	14.8656666666667
Dmelanica	175.9	-1	3.3934	2.50714666666667	7.8003	3.37328	0.00358	17.0777066666667
BDGP6	176.04	13	1.48390666666667	0.0420933333333333	8.38144666666667	14.0257733333333	0.00052	23.93374
me07rcatorum	198.9252	15	3.96751333333333	3.55237333333333	6.28925333333333	4.52116666666667	0.00123333333333333	18.33154
me39rcatorum	186.309	15	3.3888	3.13912666666667	4.05307333333333	3.85868666666667	0.00106	14.4407466666667
microlabis	244.5	-1	3.68538666666667	0.768153333333333	14.38282	21.35982	0.00413333333333333	40.2003133333333
Dmicromelanica	207.1	-1	6.59052	5.69151333333333	10.6478466666667	8.18792	0.000606666666666667	31.1184066666667
mimetica	233.5464	-1	4.76745333333333	5.22183333333333	11.0581866666667	19.7789666666667	0.223193333333333	41.0496333333334
Dmiranda	176.04	-1	1.98477333333333	2.4856	11.5066266666667	15.65104	0.00101333333333333	31.6290533333334
dmoj	166.26	16	4.60765333333333	1.66987333333333	3.32314666666667	6.61118666666667	0.00309333333333333	16.2149533333333
Dmontana	240.6	24	1.1685	2.25226	10.9422133333333	13.5231466666667	0.0124333333333333	27.8985533333333
Dnasuta	242.4	11.5	6.87056666666667	4.57155333333333	6.57473333333333	21.8651933333333	0.00602	39.8880666666666
Dnavojoa	170	16	4.78014	2.81504666666667	1.83266666666667	5.87400666666667	0.00152666666666667	15.3033866666667
nebulosa	185.82	13.5	1.53147333333333	0.43538	1.48932	3.89392	0.00154	7.35163333333333
Dnigromelanica	-1	-1	-1	-1	-1	-1	-1	-1
Dnovamexicana	244.5	21	3.25086	4.69890666666667	8.07714	5.60120666666667	0.00186666666666667	21.62998
obscura	210.27	-1	3.19056	3.08516666666667	11.1906933333333	14.2871133333333	0.00143333333333333	31.7549666666666
